İLAN ADI;MAHALLE;FİYAT;NET(m²);BRÜT(m²);ODA-SALON SAYISI;ODA SAYISI;SALON SAYISI;BANYO SAYISI;FOTOĞRAF SAYISI
GÖZTEPE SERVER İSKİT SOKAK'TA 3+1 SATILIK DAİRE;Göztepe;4.300.000;92;110;3+1;3;1;2;16
DİNAMİK'TEN YALI PARSELİN'DE MUHTEŞEM 4+1 BALKONLU SATILIK;Fenerbahçe;6.300.000;150;180;4+1;4;1;2;29
DİNAMİK'TEN KALAMIŞ MARİNAYA YAKIN 165M2 3+1 EBEVEYNLİ BALKONLU;Fenerbahçe;4.500.000;125;165;3+1;3;1;2;31
DİNAMİK'TEN ÇİFTEHAVUZLAR SAHİLDE KAPANMAZ PARK VE DENİZ MANZARA;Caddebostan;8.500.000;125;165;3+1;3;1;2;23
DİNAMİK'TEN GÖZTEPE TÜTÜNCÜ'DE MARMARAYA 1 DK 135M2 3+1 BALKONLU;Göztepe;3.250.000;100;135;3+1;3;1;1;25
FENERYOLU BAĞDAT'A 1.PARALEL 3 YILLIK İSKANLI 90m2 SATILIK 2+1;Feneryolu;3.300.000;70;90;2+1;2;1;1;31
KOZYATAĞI KAYA SULTAN SOKAK 350m2 DEPREM SONRASI SATILIK 5+2;Kozyatağı;3.350.000;300;350;5+2;5;2;3;31
KAZASKER PAŞA KORUSU 14.KAT DENİZ MANZARALI 180m2 SATILIK 3+1;19 Mayıs;5.000.000;140;180;3+1;3;1;2;31
DİNAMİK'TEN CADDEBOSTAN SAHİL'DE 3+1 BALKONLU SATILIK DAİRE;Caddebostan;6.945.000;105;135;3+1;3;1;2;23
Dinamik'ten Feneryolun'da Site İçinde Önü Açık Manzaralı 3+1;Feneryolu;4.150.000;105;140;3+1;3;1;2;33
C.BOSTAN MİGROSA 3 BİNADA SIFIR 120M2 İŞYERİNE KONUTA LÜKS;Caddebostan;5.750.000;90;120;3+1;3;1;2;24
ERENKÖY'DE 145M2 3+1 GENİŞ BALKONLU EBEVEYNLİ SATILIK DAİRE;Erenköy;4.250.000;105;145;3+1;3;1;2;31
CenkCaddede Fenerbahçe Satılık 3+1 Balkonlu Vatandaşlığa Uygun;Fenerbahçe;4.600.000;85;110;3+1;3;1;2;24
Suadiye Bağdat & EminAliPaşa Arası +124 m2 Net Teraslı Dubleks %;Suadiye;3.950.000;124;155;2+2;2;2;2;21
ŞAHANE LOKASYONDA SATILIK LÜKS DUBLEKS DAİRE;Erenköy;14.650.000;290;320;5+2;5;2;3;32
MODA'DA YATIRIMLIK KİRA GETİRİLİ 2;Caferağa;2.425.000;102;128;2+1;2;1;1;30
YATIRIMLIK! KOZYATAĞINDA BALKONLU;Kozyatağı;2.145.000;75;90;2+1;2;1;1;31
Suadiye nin En Güzel Lokasyon unda 3+1 Satılık Residence Dairesi;Suadiye;6.950.000;110;139;3+1;3;1;2;14
ACIBADEM'de MUHTEŞEM MANZARALI LÜX SATILIK ÇATI DUBLEKS;Acıbadem;9.750.000;295;370;5+1;5;1;3;31
KW SİNAN'DAN MODA DA YENİ BİNA'DA FULL MANZARALI DUBLEKS DAİRE;Caferağa;4.990.000;220;265;4+1;4;1;3;25
KOZYATAĞI BAYAR CADDESİNE ÇOK YAKIN GENİŞ 3+1 DAİRE;19 Mayıs;1.500.000;100;140;3+1;3;1;2;32
