İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI
GÖZTEPE SERVER İSKİT SOKAK'TA 3+1 SATILIK DAİRE,13,4300000,92,110,3+1,3,1,2,16
DİNAMİK'TEN YALI PARSELİN'DE MUHTEŞEM 4+1 BALKONLU SATILIK,10,6300000,150,180,4+1,4,1,2,29
DİNAMİK'TEN KALAMIŞ MARİNAYA YAKIN 165M2 3+1 EBEVEYNLİ BALKONLU,10,4500000,125,165,3+1,3,1,2,31
DİNAMİK'TEN ÇİFTEHAVUZLAR SAHİLDE KAPANMAZ PARK VE DENİZ MANZARA,5,8500000,125,165,3+1,3,1,2,23
DİNAMİK'TEN GÖZTEPE TÜTÜNCÜ'DE MARMARAYA 1 DK 135M2 3+1 BALKONLU,13,3250000,100,135,3+1,3,1,1,25
FENERYOLU BAĞDAT'A 1.PARALEL 3 YILLIK İSKANLI 90m2 SATILIK 2+1,11,3300000,70,90,2+1,2,1,1,31
KOZYATAĞI KAYA SULTAN SOKAK 350m2 DEPREM SONRASI SATILIK 5+2,15,3350000,300,350,5+2,5,2,3,31
KAZASKER PAŞA KORUSU 14.KAT DENİZ MANZARALI 180m2 SATILIK 3+1,2,5000000,140,180,3+1,3,1,2,31
DİNAMİK'TEN CADDEBOSTAN SAHİL'DE 3+1 BALKONLU SATILIK DAİRE,5,6945000,105,135,3+1,3,1,2,23
Dinamik'ten Feneryolun'da Site İçinde Önü Açık Manzaralı 3+1,11,4150000,105,140,3+1,3,1,2,33
C.BOSTAN MİGROSA 3 BİNADA SIFIR 120M2 İŞYERİNE KONUTA LÜKS,5,5750000,90,120,3+1,3,1,2,24
ERENKÖY'DE 145M2 3+1 GENİŞ BALKONLU EBEVEYNLİ SATILIK DAİRE,8,4250000,105,145,3+1,3,1,2,31
CenkCaddede Fenerbahçe Satılık 3+1 Balkonlu Vatandaşlığa Uygun,10,4600000,85,110,3+1,3,1,2,24
Suadiye Bağdat & EminAliPaşa Arası +124 m2 Net Teraslı Dubleks %,20,3950000,124,155,2+2,2,2,2,21
ŞAHANE LOKASYONDA SATILIK LÜKS DUBLEKS DAİRE,8,14650000,290,320,5+2,5,2,3,32
MODA'DA YATIRIMLIK KİRA GETİRİLİ 2,6,2425000,102,128,2+1,2,1,1,30
YATIRIMLIK! KOZYATAĞINDA BALKONLU,15,2145000,75,90,2+1,2,1,1,31
Suadiye nin En Güzel Lokasyon unda 3+1 Satılık Residence Dairesi,20,6950000,110,139,3+1,3,1,2,14
ACIBADEM'de MUHTEŞEM MANZARALI LÜX SATILIK ÇATI DUBLEKS,3,9750000,295,370,5+1,5,1,3,31
KW SİNAN'DAN MODA DA YENİ BİNA'DA FULL MANZARALI DUBLEKS DAİRE,6,4990000,220,265,4+1,4,1,3,25
KOZYATAĞI BAYAR CADDESİNE ÇOK YAKIN GENİŞ 3+1 DAİRE,2,1500000,100,140,3+1,3,1,2,32
KW Cadde'denMinibüs Caddesine Yürüme Mesafesi Ara Kat Emsalsiz,15,3200000,80,100,2+1,2,1,2,30
ERENKÖY DE 2 YILLIK BİNADA 4.KATTA GÜNEY BATI CEPHE KOMBİLİ 3+1,8,3600000,108,125,3+1,3,1,1,16
Caddebostan sahilde 4 yaşında iskanlı 3+1 Kombili Balkonlu,5,5300000,98,125,3+1,3,1,2,32
Moda Dr. Esat Işık Cad. Üzerinde Havuzlu Otoparklı 4+1,6,4350000,140,170,4+1,4,1,2,23
FENERYOLU ÖZGÜRLÜK PARKINA YAKIN 160M2 BALKONLU ULTRA LÜKS,11,3595000,125,160,3+1,3,1,2,23
SUADİYEDE GİRİŞ KATI 2+1 MARMARAY YÜRÜME MESAFESİNDE SATILIK,20,1635000,75,95,2+1,2,1,1,22
MODA SAHİL DE MUHTEŞEM DENİZ MANZARALI AYRICALIKLI ÖZEL TERASLI.,6,11000000,133,177,3+1,3,1,1,26
Dinamik'ten Suadiye'de Kaptan Arif Caddesine'de 3+1 Balkonlu,20,3595000,110,140,3+1,3,1,1,31
Yenitepe Kadıköy de Balkonlu Yüksek kat Satılık Boş 3+1 Daire,7,5550000,130,200,3+1,3,1,3,30
Moda'nın kalbinde oturmak ister misiniz?,6,3750000,100,130,3+1,3,1,1,30
KOZYATAĞI METRO İSTASYONUNA VE KOZZY AVM YE YAKIN KONUMDADI,15,2350000,110,140,3+1,3,1,1,13
Fenerbahçe'de Orduevi yakını,10,9850000,216,260,4+2,4,2,4,23
BAĞDATA SADECE 100MT MESAFEDE,11,4995000,150,210,4+1,4,1,3,28
SUADİYE'DE DİNAMİKTEN MERKEZİ KONUMDA BALKONLU 3+1 SATILIK DAİRE,20,2350000,100,125,3+1,3,1,1,28
SAKİNLERDE ŞAHANE 3+1 125m² DOĞA MANZARALI ARAKAT DAİRE,3,3350000,120,125,3+1,3,1,2,26
ERENKÖY BAĞDAT CADDESİ YAKIN 4+1 190M2 24 SAAT GÜVENLİKLİ DAİRE,8,16100000,165,225,4+1,4,1,2,29
F.YOLU BAĞDATA YAKIN 225M2 BALKONLU ULTRA LÜKS DAİRE,11,4995000,185,225,4+1,4,1,2,18
GÖZTEPE MERKEZDE İÇİ YAPILI BALKONLU EBEVEYN BANYOLU SATILIK 3+1,13,3100000,125,165,3+1,3,1,2,26
